Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
G-YMMT,-28.36446762084961,14.313125610351562,37000.0 ft,2023-07-08 10:11:09.250,,,<0.25 nm,OK,OK,0.8235,-16.0 ft/min,
A7-BCZ,12.716331481933594,49.66318130493164,40000.0 ft,2023-07-08 10:12:50.875,,,<0.05 nm,OK,OK,0.84,-16.0 ft/min,
A7-ANR,65.76982498168945,-9.210834503173828,37000.0 ft,2023-07-08 10:13:06.000,55.0 kt,-57.75 C,<0.05 nm,OK,OK,0.8525,0.0 ft/min,2023-07-08 10:47:47.000
A7-BCZ,12.65127182006836,49.550228118896484,40000.0 ft,2023-07-08 10:13:43.875,,,<0.05 nm,OK,OK,0.8415,0.0 ft/min,
A7-ALU,8.530025482177734,49.2432975769043,38000.0 ft,2023-07-08 10:16:53.000,,,<0.05 nm,OK,OK,0.8395,0.0 ft/min,
3B-NCE,1.6385078430175781,50.31515121459961,37996.0 ft,2023-07-08 10:17:19.000,,,<0.05 nm,OK,OK,0.8385,176.0 ft/min,
F-HMIB,7.299213409423828,44.638309478759766,38000.0 ft,2023-07-08 10:18:29.000,,,<0.05 nm,OK,OK,0.8455,0.0 ft/min,
A7-ALU,8.293132781982422,49.09910202026367,38004.0 ft,2023-07-08 10:18:54.000,,,<0.05 nm,OK,OK,0.839,16.0 ft/min,
3B-NCE,1.8946266174316406,50.20528793334961,38004.0 ft,2023-07-08 10:19:19.000,,,<0.05 nm,OK,OK,0.84,0.0 ft/min,
G-YMMT,-29.56523895263672,15.202503204345703,37000.0 ft,2023-07-08 10:20:45.375,,,<0.25 nm,OK,OK,0.83,0.0 ft/min,
3B-NCE,2.1502304077148438,50.09542465209961,38000.0 ft,2023-07-08 10:21:19.000,,,<0.05 nm,OK,OK,0.842,0.0 ft/min,
F-HKYS,0.16050338745117188,46.10790252685547,36000.0 ft,2023-07-08 10:22:34.000,,,<0.25 nm,OK,OK,0.8205,-16.0 ft/min,
ET-ATG,11.41530990600586,47.396907806396484,38000.0 ft,2023-07-08 10:23:01.250,,,<0.05 nm,OK,OK,0.8305,-16.0 ft/min,
A7-BCZ,11.962909698486328,48.35855484008789,39996.0 ft,2023-07-08 10:23:03.875,,,<0.05 nm,OK,OK,0.842,0.0 ft/min,
3B-NCE,2.406177520751953,49.98556137084961,38000.0 ft,2023-07-08 10:23:20.000,,,<0.05 nm,OK,OK,0.8375,0.0 ft/min,
F-HMIB,8.136577606201172,44.438838958740234,38000.0 ft,2023-07-08 10:24:30.000,,,<0.05 nm,OK,OK,0.85,0.0 ft/min,
ET-ATG,11.281929016113281,47.16447830200195,38000.0 ft,2023-07-08 10:24:51.250,,,<0.05 nm,OK,OK,0.8305,0.0 ft/min,
ET-ATG,11.269912719726562,47.14336395263672,38000.0 ft,2023-07-08 10:25:01.250,,,<0.05 nm,OK,OK,0.831,-32.0 ft/min,
3B-NCE,2.6605796813964844,49.87569808959961,38004.0 ft,2023-07-08 10:25:20.000,,,<0.05 nm,OK,OK,0.844,0.0 ft/min,
F-HKYS,0.6844139099121094,45.87959289550781,36000.0 ft,2023-07-08 10:26:34.000,,,<0.25 nm,OK,OK,0.8055,0.0 ft/min,
C-FNOE,68.7469482421875,-14.789314270019531,38996.0 ft,2023-07-08 10:27:15.750,9.0 kt,-45.75 C,<0.05 nm,OK,OK,0.851,0.0 ft/min,2023-07-08 10:50:47.750
